route_id,variant_code,calendar_id,start_time,end_time,headway,exact
M1,MLO,PcM,05:00:00,05:33:00,360,0
M1,MLO,PcM,05:33:00,05:48:00,210,0
M1,MLO,PcM,05:48:00,08:46:00,150,0
M1,MLO,PcM,08:46:00,13:25:00,210,0
M1,MLO,PcM,13:25:00,19:20:00,150,0
M1,MLO,PcM,19:20:00,20:54:00,300,0
M1,MLO,PcM,20:54:00,22:09:00,390,0
M1,MLO,PcM,22:09:00,24:06:59,570,0
M1,MLO,PtM,05:00:00,05:33:00,360,0
M1,MLO,PtM,05:33:00,05:48:00,210,0
M1,MLO,PtM,05:48:00,08:46:00,150,0
M1,MLO,PtM,08:46:00,13:25:00,210,0
M1,MLO,PtM,13:25:00,19:17:00,150,0
M1,MLO,PtM,19:17:00,20:54:00,300,0
M1,MLO,PtM,20:54:00,22:50:00,390,0
M1,MLO,PtM,22:50:00,24:12:00,570,0
M1,MLO,PtM,24:12:00,25:57:59,900,1
M1,MLO,SbM,05:00:00,06:39:00,420,0
M1,MLO,SbM,06:39:00,19:53:00,300,0
M1,MLO,SbM,19:53:00,23:01:00,390,0
M1,MLO,SbM,23:01:00,24:12:00,570,0
M1,MLO,SbM,24:12:00,25:57:59,900,1
M1,MLO,NdM,05:00:00,08:33:00,420,0
M1,MLO,NdM,08:33:00,20:28:00,360,0
M1,MLO,NdM,20:28:00,23:37:00,420,0
M1,MLO,NdM,23:37:00,24:06:59,570,0
M1,KAB,PcM,05:00:00,05:50:00,270,0
M1,KAB,PcM,05:50:00,09:23:00,150,0
M1,KAB,PcM,09:23:00,13:55:00,210,0
M1,KAB,PcM,13:55:00,20:02:00,150,0
M1,KAB,PcM,20:02:00,21:03:00,270,0
M1,KAB,PcM,21:03:00,22:21:00,390,0
M1,KAB,PcM,22:21:00,22:44:00,450,0
M1,KAB,PcM,22:44:00,24:12:59,570,0
M1,KAB,PtM,05:00:00,05:50:00,270,0
M1,KAB,PtM,05:50:00,09:23:00,150,0
M1,KAB,PtM,09:23:00,13:55:00,210,0
M1,KAB,PtM,13:55:00,19:59:00,150,0
M1,KAB,PtM,19:59:00,21:09:00,270,0
M1,KAB,PtM,21:09:00,21:37:00,330,0
M1,KAB,PtM,21:37:00,22:44:00,390,0
M1,KAB,PtM,22:44:00,24:18:00,540,0
M1,KAB,PtM,24:18:00,26:18:59,900,1
M1,KAB,SbM,05:00:00,07:23:00,450,0
M1,KAB,SbM,07:23:00,20:37:00,300,0
M1,KAB,SbM,20:37:00,22:50:00,450,0
M1,KAB,SbM,22:50:00,24:18:00,540,0
M1,KAB,SbM,24:18:00,26:18:59,900,1
M1,KAB,NdM,05:00:00,05:23:00,480,0
M1,KAB,NdM,05:23:00,09:17:00,450,0
M1,KAB,NdM,09:17:00,21:12:00,330,0
M1,KAB,NdM,21:12:00,24:12:50,480,0
M2,BRO,PcM,05:00:00,05:59:00,390,0
M2,BRO,PcM,05:59:00,06:22:00,270,0
M2,BRO,PcM,06:22:00,09:20:00,180,0
M2,BRO,PcM,09:20:00,14:21:00,450,0
M2,BRO,PcM,14:21:00,19:01:00,180,0
M2,BRO,PcM,19:01:00,20:10:00,270,0
M2,BRO,PcM,20:10:00,22:51:00,390,0
M2,BRO,PcM,22:51:00,24:18:59,570,0
M2,BRO,PtM,05:00:00,05:59:00,390,0
M2,BRO,PtM,05:59:00,06:22:00,270,0
M2,BRO,PtM,06:22:00,09:20:00,180,0
M2,BRO,PtM,09:20:00,14:21:00,450,0
M2,BRO,PtM,14:21:00,19:01:00,180,0
M2,BRO,PtM,19:01:00,20:00:00,270,0
M2,BRO,PtM,20:00:00,23:15:00,390,0
M2,BRO,PtM,23:15:00,24:13:00,510,0
M2,BRO,PtM,24:13:00,26:13:59,900,1
M2,BRO,SbM,05:00:00,06:08:00,480,0
M2,BRO,SbM,06:08:00,21:33:00,390,0
M2,BRO,SbM,21:33:00,23:39:00,480,0
M2,BRO,SbM,23:39:00,24:13:00,570,0
M2,BRO,SbM,24:13:00,26:13:59,900,1
M2,BRO,NdM,05:00:00,08:29:00,480,0
M2,BRO,NdM,08:29:00,22:32:00,390,0
M2,BRO,NdM,22:32:00,24:18:59,540,0
M2,BEM,PcM,05:00:00,05:31:00,480,0
M2,BEM,PcM,05:31:00,06:59:00,270,0
M2,BEM,PcM,06:59:00,09:32:00,180,0
M2,BEM,PcM,09:32:00,14:24:00,270,0
M2,BEM,PcM,14:24:00,19:30:00,180,0
M2,BEM,PcM,19:30:00,20:42:00,300,0
M2,BEM,PcM,20:42:00,24:13:59,540,0
M2,BEM,PtM,05:00:00,05:31:00,480,0
M2,BEM,PtM,05:31:00,06:59:00,270,0
M2,BEM,PtM,06:59:00,09:32:00,180,0
M2,BEM,PtM,09:32:00,14:24:00,270,0
M2,BEM,PtM,14:24:00,19:30:00,180,0
M2,BEM,PtM,19:30:00,20:37:00,300,0
M2,BEM,PtM,20:37:00,23:37:00,420,0
M2,BEM,PtM,23:37:00,24:08:00,480,0
M2,BEM,PtM,24:08:00,26:08:59,900,1
M2,BEM,SbM,05:00:00,06:49:00,450,0
M2,BEM,SbM,06:49:00,19:31:00,360,0
M2,BEM,SbM,19:31:00,20:32:00,420,0
M2,BEM,SbM,20:32:00,24:08:00,480,0
M2,BEM,SbM,24:08:00,26:08:59,900,1
M2,BEM,NdM,05:00:00,09:22:00,450,0
M2,BEM,NdM,09:22:00,22:36:00,390,0
M2,BEM,NdM,22:36:00,24:13:59,540,0
