route_id,variant_code,stop_sequence,stop_id,departure_time
M1,MLO,0,3282M:P1,00:00:00
M1,MLO,1,3281M:P1,00:02:00
M1,MLO,2,3280M:P1,00:04:00
M1,MLO,3,3132M:P1,00:06:00
M1,MLO,4,3127M:P1,00:08:00
M1,MLO,5,3279M:P1,00:10:00
M1,MLO,6,3009M:P1,00:12:00
M1,MLO,7,3114M:P1,00:13:00
M1,MLO,8,3230M:P1,00:15:00
M1,MLO,9,3228M:P1,00:17:00
M1,MLO,10,7006M:P1,00:18:00
M1,MLO,11,7013M:P1,00:21:00
M1,MLO,12,7014M:P1,00:22:00
M1,MLO,13,7099M:P1,00:24:00
M1,MLO,14,7019M:P1,00:27:00
M1,MLO,15,6003M:P1,00:30:00
M1,MLO,16,6005M:P1,00:32:00
M1,MLO,17,6006M:P1,00:33:00
M1,MLO,18,6052M:P1,00:35:00
M1,MLO,19,6055M:P1,00:37:00
M1,MLO,20,6059M:P1,00:39:00
M1,KAB,0,6059M:P1,00:00:00
M1,KAB,1,6055M:P1,00:02:00
M1,KAB,2,6052M:P1,00:04:00
M1,KAB,3,6006M:P1,00:06:00
M1,KAB,4,6005M:P1,00:07:00
M1,KAB,5,6003M:P1,00:09:00
M1,KAB,6,7019M:P1,00:12:00
M1,KAB,7,7099M:P1,00:15:00
M1,KAB,8,7014M:P1,00:17:00
M1,KAB,9,7013M:P1,00:18:00
M1,KAB,10,7006M:P1,00:21:00
M1,KAB,11,3228M:P1,00:22:00
M1,KAB,12,3230M:P1,00:24:00
M1,KAB,13,3114M:P1,00:26:00
M1,KAB,14,3009M:P1,00:27:00
M1,KAB,15,3279M:P1,00:29:00
M1,KAB,16,3127M:P1,00:31:00
M1,KAB,17,3132M:P1,00:33:00
M1,KAB,18,3280M:P1,00:35:00
M1,KAB,19,3281M:P1,00:37:00
M1,KAB,20,3282M:P1,00:39:00
M2,BRO,0,5034M:P2,00:00:00
M2,BRO,1,5032M:P2,00:02:00
M2,BRO,2,5030M:P2,00:04:00
M2,BRO,3,5028M:P2,00:06:00
M2,BRO,4,5005M:P2,00:08:00
M2,BRO,5,5040M:P2,00:09:00
M2,BRO,6,7088M:P2,00:11:00
M2,BRO,7,7014M:P2,00:13:00
M2,BRO,8,7043M:P2,00:15:00
M2,BRO,9,7079M:P2,00:17:00
M2,BRO,10,1231M:P2,00:19:00
M2,BRO,11,1003M:P2,00:21:00
M2,BRO,12,1526M:P2,00:23:00
M2,BRO,13,1137M:P2,00:25:00
M2,BRO,14,1140M:P2,00:27:00
M2,BRO,15,1411M:P2,00:29:00
M2,BRO,16,1146M:P2,00:31:00
M2,BRO,17,1085M:P2,00:33:00
M2,BEM,0,1085M:P2,00:00:00
M2,BEM,1,1146M:P2,00:02:00
M2,BEM,2,1411M:P2,00:04:00
M2,BEM,3,1140M:P2,00:06:00
M2,BEM,4,1137M:P2,00:08:00
M2,BEM,5,1526M:P2,00:10:00
M2,BEM,6,1003M:P2,00:12:00
M2,BEM,7,1231M:P2,00:14:00
M2,BEM,8,7079M:P2,00:16:00
M2,BEM,9,7043M:P2,00:18:00
M2,BEM,10,7014M:P2,00:19:00
M2,BEM,11,7088M:P2,00:21:00
M2,BEM,12,5040M:P2,00:23:00
M2,BEM,13,5005M:P2,00:25:00
M2,BEM,14,5028M:P2,00:27:00
M2,BEM,15,5030M:P2,00:29:00
M2,BEM,16,5032M:P2,00:31:00
M2,BEM,17,5034M:P2,00:33:00
